,Year,Movie,Time,Gener,star,Metascore,Votes,Gross_earning,Director
724,2018,BlacKkKlansman,135,"Biography,",7.5,85,271235,49.28,Spike Lee
725,1992,A Few Good Men,138,"Drama,",7.7,88,270831,141.34,Rob Reiner
726,2004,Before Sunset,80,"Drama,",8.1,45,270821,5.82,Richard Linklater
727,1997,Boogie Nights,155,Drama,7.9,92,270758,26.4,Paul Thomas Anderson
728,1989,The Little Mermaid,83,"Animation,",7.6,32,269822,111.54,"Ron Clements, "
729,2007,4: Rise of the Silver Surfer,92,"Action,",5.6,48,269680,131.92,Tim Story
730,1977,Annie Hall,93,"Comedy,",8.0,56,269015,39.2,Woody Allen
731,2016,Warcraft,123,"Action,",6.7,64,268542,47.37,Duncan Jones
732,2000,Scary Movie,88,Comedy,6.2,81,268525,157.02,Keenen Ivory Wayans
733,2014,Non-Stop,106,"Action,",6.9,83,268430,92.17,Jaume Collet-Serra
734,2019,Nobody,92,"Action,",7.4,53,268412,27.27,Ilya Naishuller
735,1999,The Blair Witch Project,81,"Horror,",6.5,44,268124,140.54,"Daniel Myrick, "
736,1973,The Sting,129,"Comedy,",8.3,46,267594,159.6,George Roy Hill
737,2001,Enemy at the Gates,131,"Action,",7.5,63,267215,51.4,Jean-Jacques Annaud
738,2004,The Village,108,"Drama,",6.6,52,267039,114.2,M. Night Shyamalan
739,2000,How the Grinch Stole Christmas,104,"Comedy,",6.3,82,267020,260.04,Ron Howard
740,1994,True Lies,141,"Action,",7.3,80,266306,146.28,James Cameron
741,2017,Murder on the Orient Express,114,"Crime,",6.5,52,265936,102.83,Kenneth Branagh
742,2015,The Lobster,119,"Drama,",7.1,70,265893,8.7,Yorgos Lanthimos
743,1988,Nuovo Cinema Paradiso,155,"Drama,",8.5,56,265762,11.99,Giuseppe Tornatore
744,2001,Blow,124,"Biography,",7.5,87,265213,52.99,Ted Demme
745,1987,RoboCop,102,"Action,",7.6,68,265171,53.42,Paul Verhoeven
746,2019,Unknown,113,"Action,",6.8,66,264393,63.69,Jaume Collet-Serra
747,2012,Lincoln,150,"Biography,",7.3,82,264303,182.21,Steven Spielberg
748,1987,Lethal Weapon,109,"Action,",7.6,51,264255,65.21,Richard Donner
749,2012,Seven Psychopaths,110,"Comedy,",7.1,36,264164,15.02,Martin McDonagh
750,2017,War for the Planet of the Apes,140,"Action,",7.4,47,263704,146.88,Matt Reeves
751,2016,Me Before You,106,"Drama,",7.4,47,262706,56.25,Thea Sharrock
752,2000,Final Destination,98,"Horror,",6.7,72,262635,53.33,James Wong
753,2012,Hotel Transylvania,91,"Animation,",7.0,86,262580,148.31,Genndy Tartakovsky
754,2010,The A-Team,117,"Action,",6.7,60,262299,77.22,Joe Carnahan
755,1975,Dog Day Afternoon,125,"Biography,",8.0,74,261568,50.0,Sidney Lumet
756,2011,The Adjustment Bureau,106,"Romance,",7.0,43,261473,62.5,George Nolfi
757,1995,GoldenEye,130,"Action,",7.2,52,261447,106.6,Martin Campbell
758,1965,Per qualche dollaro in più,132,Western,8.2,59,260773,15.0,Sergio Leone
759,2001,American Pie 2,108,Comedy,6.4,53,260733,145.1,J.B. Rogers
760,1991,Hook,142,"Adventure,",6.8,70,260506,119.65,Steven Spielberg
761,2004,Dawn of the Dead,101,"Action,",7.3,61,260492,59.02,Zack Snyder
762,2019,Sinister,110,"Horror,",6.8,73,260303,48.09,Scott Derrickson
763,2008,Vicky Cristina Barcelona,96,"Comedy,",7.1,58,260069,23.22,Woody Allen
764,1982,First Blood,93,"Action,",7.7,63,259675,47.21,Ted Kotcheff
765,2017,Wind River,107,"Crime,",7.7,68,259449,33.8,Taylor Sheridan
766,2019,Jumanji: The Next Level,123,"Action,",6.7,43,259117,316.83,Jake Kasdan
767,2008,Changeling,141,"Biography,",7.8,84,258770,35.74,Clint Eastwood
768,2014,Noah,138,"Action,",5.8,40,258571,101.2,Darren Aronofsky
769,2019,Total Recall,118,"Action,",6.2,28,258364,58.88,Len Wiseman
770,2019,Toy Story 4,100,"Animation,",7.7,30,258233,434.04,Josh Cooley
771,2005,Saw II,93,"Horror,",6.6,51,258128,87.04,Darren Lynn Bousman
772,1997,Batman & Robin,125,"Action,",3.7,43,258006,107.33,Joel Schumacher
773,2019,Grown Ups,102,Comedy,5.9,57,257983,162.0,Dennis Dugan
774,2019,The Intern,121,"Comedy,",7.1,41,257943,75.76,Nancy Meyers
775,2015,Maze Runner: The Scorch Trials,131,"Action,",6.3,51,257877,81.7,Wes Ball
776,2011,Paul,104,"Adventure,",6.9,63,257346,37.41,Greg Mottola
777,2015,Chappie,120,"Action,",6.8,53,257224,31.57,Neill Blomkamp
778,1995,Batman Forever,121,"Action,",5.4,48,257219,184.03,Joel Schumacher
779,2008,21,123,"Crime,",6.8,56,256962,81.16,Robert Luketic
780,2003,Bad Boys II,147,"Action,",6.6,56,256487,138.61,Michael Bay
781,2011,The Grey,117,"Action,",6.7,55,256099,51.58,Joe Carnahan
783,2006,Perfume: The Story of a Murderer,147,"Crime,",7.5,69,255844,2.22,Tom Tykwer
784,2004,Dodgeball: A True Underdog Story,92,"Comedy,",6.7,64,255690,114.33,Rawson Marshall Thurber
785,2005,Walk the Line,136,"Biography,",7.8,68,255669,119.52,James Mangold
786,2012,Chronicle,89,"Action,",7.0,64,255432,64.58,Josh Trank
787,2007,Sunshine,107,"Sci-Fi,",7.2,57,255188,3.68,Danny Boyle
788,2012,End of Watch,109,"Action,",7.6,86,254565,41.0,David Ayer
789,2003,Identity,90,"Mystery,",7.3,51,254333,52.16,James Mangold
790,2006,Crank,88,"Action,",6.9,52,254121,27.83,"Mark Neveldine, "
791,1981,Das Boot,149,"Drama,",8.4,63,253980,11.49,Wolfgang Petersen
792,2008,Mamma Mia!,108,"Comedy,",6.5,50,253404,144.13,Phyllida Lloyd
793,2012,The Twilight Saga: Breaking Dawn - Part 2,115,"Adventure,",5.5,41,253147,292.3,Bill Condon
794,1997,Alien Resurrection,109,"Action,",6.2,55,252342,47.75,Jean-Pierre Jeunet
795,2009,Ice Age: Dawn of the Dinosaurs,94,"Animation,",6.9,43,251223,196.57,"Carlos Saldanha, "
796,2012,Battleship,131,"Action,",5.8,33,251019,65.42,Peter Berg
797,2019,The Lion King,118,"Animation,",6.8,58,250874,543.64,Jon Favreau
798,2019,Glass,129,"Drama,",6.6,68,250637,111.05,M. Night Shyamalan
799,2011,Just Go with It,117,"Comedy,",6.4,58,250571,103.03,Dennis Dugan
800,2010,The Twilight Saga: Eclipse,124,"Action,",5.0,42,250502,300.53,David Slade
801,2016,Star Trek Beyond,122,"Action,",7.0,83,250205,158.85,Justin Lin
802,2008,The Reader,124,"Drama,",7.6,66,250192,34.19,Stephen Daldry
803,2007,The Bucket List,97,"Adventure,",7.4,43,250095,93.47,Rob Reiner
804,2014,It Follows,100,"Horror,",6.8,67,249752,14.67,David Robert Mitchell
805,2001,Bridget Jones's Diary,97,"Comedy,",6.8,56,249628,71.54,Sharon Maguire
806,1998,Meet Joe Black,178,"Drama,",7.2,75,249119,44.62,Martin Brest
807,1998,Enemy of the State,132,"Action,",7.3,83,249095,111.55,Tony Scott
808,2008,Valkyrie,121,"Drama,",7.1,45,249074,83.08,Bryan Singer
809,2015,Spy,120,"Action,",7.0,95,248916,110.83,Paul Feig
810,2007,Eastern Promises,100,"Crime,",7.6,86,248586,17.11,David Cronenberg
811,2003,How to Lose a Guy in 10 Days,116,"Comedy,",6.4,49,248172,105.81,Donald Petrie
812,2011,Jodaeiye Nader az Simin,123,Drama,8.3,37,247942,7.1,Asghar Farhadi
813,1963,The Great Escape,172,"Adventure,",8.2,66,247936,12.1,John Sturges
814,2013,Escape Plan,115,"Action,",6.7,99,247864,25.13,Mikael Håfström
815,2019,The Tourist,103,"Action,",6.0,67,247458,67.63,Florian Henckel von Donnersmarck
816,1993,Philadelphia,125,Drama,7.7,96,246939,77.32,Jonathan Demme
817,1952,Singin' in the Rain,103,"Comedy,",8.3,78,246880,8.82,"Stanley Donen, "
818,2022,Black Panther: Wakanda Forever,161,"Action,",6.7,76,246818,453.72,Ryan Coogler
819,1936,Modern Times,87,"Comedy,",8.5,60,246253,0.16,Charles Chaplin
820,1980,Airplane!,88,Comedy,7.7,58,246141,83.4,"Jim Abrahams, "
821,1984,A Nightmare on Elm Street,91,Horror,7.4,51,245993,25.5,Wes Craven
822,2020,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,109,"Action,",6.0,33,245965,84.16,Cathy Yan
823,2012,Lawless,116,"Biography,",7.2,78,245846,37.4,John Hillcoat
824,1997,Austin Powers: International Man of Mystery,94,"Adventure,",7.0,68,245759,53.88,Jay Roach
825,2011,Sucker Punch,110,"Action,",6.0,51,245737,36.39,Zack Snyder
826,2007,Paranormal Activity,86,"Horror,",6.3,84,245214,107.92,Oren Peli
827,2013,Ender's Game,114,"Action,",6.6,49,244916,61.74,Gavin Hood
828,2011,The Twilight Saga: Breaking Dawn - Part 1,117,"Adventure,",4.9,56,244829,281.29,Bill Condon
829,2011,The Descendants,115,"Comedy,",7.3,57,244599,82.58,Alexander Payne
830,2000,Pitch Black,109,"Action,",7.1,43,244596,39.24,David Twohy
831,2015,Minions,91,"Animation,",6.4,83,244566,336.05,"Kyle Balda, "
832,2015,Southpaw,124,"Action,",7.3,89,244498,52.42,Antoine Fuqua
833,2019,The Beach,119,"Adventure,",6.6,64,244072,39.79,Danny Boyle
834,2000,Amores perros,154,"Drama,",8.1,43,244018,5.38,Alejandro G. Iñárritu
835,2019,The Artist,100,"Comedy,",7.9,48,243982,44.67,Michel Hazanavicius
836,2019,The Road,111,"Drama,",7.2,35,243974,0.06,John Hillcoat
837,2015,San Andreas,114,"Action,",6.1,80,243709,155.19,Brad Peyton
838,2007,National Treasure: Book of Secrets,124,"Action,",6.5,42,243499,219.96,Jon Turteltaub
839,2007,Ghost Rider,110,"Action,",5.3,82,243468,115.8,Mark Steven Johnson
840,2019,Ad Astra,123,"Adventure,",6.5,90,243355,50.19,James Gray
841,2015,Insurgent,119,"Action,",6.2,63,243326,130.18,Robert Schwentke
842,2005,A History of Violence,96,"Action,",7.4,51,243255,31.49,David Cronenberg
843,1959,Ben-Hur,212,"Adventure,",8.1,44,243105,74.7,William Wyler
844,2011,The Lincoln Lawyer,118,"Crime,",7.3,66,242942,58.01,Brad Furman
845,2006,The Fountain,97,"Drama,",7.2,73,242625,10.14,Darren Aronofsky
846,1999,The Boondock Saints,108,"Action,",7.7,49,242301,0.03,Troy Duffy
847,2013,Don Jon,90,"Comedy,",6.5,63,242272,24.48,Joseph Gordon-Levitt
848,1993,What's Eating Gilbert Grape,118,Drama,7.7,59,242271,9.17,Lasse Hallström
849,2000,"Me, Myself & Irene",116,Comedy,6.6,69,242081,90.57,"Bobby Farrelly, "
850,1965,The Sound of Music,172,"Biography,",8.1,71,241964,163.21,Robert Wise
851,2021,Cruella,134,"Adventure,",7.3,36,241024,86.1,Craig Gillespie
852,2016,Lion,118,"Biography,",8.0,66,240990,51.74,Garth Davis
853,2020,A Quiet Place Part II,97,"Drama,",7.2,66,240890,160.07,John Krasinski
854,2011,I Am Number Four,111,"Action,",6.1,83,240872,55.1,D.J. Caruso
855,2019,Game Night,100,"Action,",6.9,70,240824,69.18,"John Francis Daley, "
856,2009,Cloudy with a Chance of Meatballs,90,"Animation,",6.9,74,240571,124.87,"Phil Lord, "
857,2009,Fantastic Mr. Fox,87,"Animation,",7.9,65,240414,21.0,Wes Anderson
858,2003,21 Grams,124,"Crime,",7.6,62,240320,16.29,Alejandro G. Iñárritu
859,1994,Natural Born Killers,119,"Action,",7.2,80,240260,50.28,Oliver Stone
860,2019,Dirty Dancing,100,"Drama,",7.0,59,239887,0.62,Emile Ardolino
861,2007,Disturbia,105,"Crime,",6.8,41,239438,80.21,D.J. Caruso
862,2009,Coraline,100,"Animation,",7.7,74,238872,75.29,Henry Selick
863,1999,Austin Powers: The Spy Who Shagged Me,95,"Action,",6.6,37,238579,206.04,Jay Roach
864,2009,Knowing,121,"Action,",6.2,73,238352,79.96,Alex Proyas
865,1997,Hercules,93,"Animation,",7.3,74,238034,99.05,"Ron Clements, "
866,2013,The Lone Ranger,150,"Action,",6.4,63,237990,89.3,Gore Verbinski
867,2016,Hidden Figures,127,"Biography,",7.8,54,237700,169.61,Theodore Melfi
868,2009,Mr. Nobody,141,"Drama,",7.8,88,237528,0.0,Jaco Van Dormael
869,2017,The Fate of the Furious,136,"Action,",6.6,42,237514,226.01,F. Gary Gray
870,2019,Life,104,"Horror,",6.6,61,237204,30.23,Daniel Espinosa
872,2009,Orphan,123,"Horror,",7.0,47,236723,41.6,Jaume Collet-Serra
873,1997,Cube,90,"Drama,",7.2,54,236419,0.5,Vincenzo Natali
874,2008,Rambo,92,"Action,",7.0,60,236305,42.75,Sylvester Stallone
875,2017,The Hitman's Bodyguard,118,"Action,",6.9,51,236164,75.47,Patrick Hughes
876,2003,Old School,88,Comedy,7.0,79,236080,75.59,Todd Phillips
877,2016,Ghostbusters,117,"Action,",6.8,68,235621,128.34,Paul Feig
878,2010,Predators,107,"Action,",6.4,50,235497,52.0,Nimród Antal
879,1982,Gandhi,191,"Biography,",8.0,47,235363,52.77,Richard Attenborough
880,2011,The Adventures of Tintin,107,"Animation,",7.3,60,235148,77.59,Steven Spielberg
881,2019,No Strings Attached,108,"Comedy,",6.2,41,235132,70.66,Ivan Reitman
882,2004,The Passion of the Christ,127,Drama,7.2,31,235074,370.78,Mel Gibson
883,2013,Warm Bodies,98,"Comedy,",6.8,61,235069,66.38,Jonathan Levine
884,2022,Black Adam,125,"Action,",6.3,72,234791,168.15,Jaume Collet-Serra
885,2006,Silent Hill,125,"Horror,",6.5,81,234781,46.98,Christophe Gans
886,2008,Role Models,99,Comedy,6.8,63,234610,67.29,David Wain
887,2019,The Invisible Man,124,"Drama,",7.1,60,234495,70.41,Leigh Whannell
888,2002,Chicago,113,"Comedy,",7.2,61,234368,170.69,Rob Marshall
889,2011,Rio,96,"Animation,",6.9,38,234195,143.62,Carlos Saldanha
890,1996,Romeo + Juliet,120,"Drama,",6.7,75,234178,46.35,Baz Luhrmann
891,2008,Madagascar: Escape 2 Africa,89,"Animation,",6.6,49,234004,180.01,"Eric Darnell, "
892,2004,The Chronicles of Riddick,119,"Action,",6.6,52,233621,57.76,David Twohy
893,2017,Mother!,121,"Drama,",6.6,31,232988,17.8,Darren Aronofsky
894,2021,Venom: Let There Be Carnage,97,"Action,",5.9,79,232822,213.55,Andy Serkis
895,1996,Mars Attacks!,106,"Comedy,",6.4,42,232790,37.77,Tim Burton
896,1996,Happy Gilmore,92,"Comedy,",7.0,52,232496,38.62,Dennis Dugan
897,1999,Tarzan,88,"Animation,",7.3,70,232470,171.09,"Chris Buck, "
898,2019,Transcendence,119,"Action,",6.2,57,232373,23.02,Wally Pfister
899,2014,RoboCop,117,"Action,",6.1,75,232216,58.61,José Padilha
900,1984,Gremlins,106,"Comedy,",7.3,58,232182,148.17,Joe Dante
901,2008,Body of Lies,128,"Action,",7.0,67,232048,39.39,Ridley Scott
902,2021,Encanto,102,"Animation,",7.2,59,231853,96.09,"Jared Bush, "
903,2019,Jason Bourne,123,"Action,",6.6,86,231836,162.43,Paul Greengrass
904,2006,Stranger Than Fiction,113,"Comedy,",7.6,71,231614,40.14,Marc Forster
905,1993,True Romance,119,"Crime,",7.9,60,231508,12.28,Tony Scott
906,2014,The Babadook,94,"Horror,",6.8,74,231229,0.92,Jennifer Kent
907,2005,The Descent,99,"Adventure,",7.2,72,231098,26.02,Neil Marshall
908,1984,The Karate Kid,126,"Action,",7.3,73,230981,90.82,John G. Avildsen
909,2005,Munich,164,"Action,",7.5,73,230899,47.4,Steven Spielberg
910,2005,Kiss Kiss Bang Bang,103,"Comedy,",7.5,41,230390,4.24,Shane Black
911,2016,Busanhaeng,118,"Action,",7.6,49,230209,2.13,Sang-ho Yeon
912,2012,Lo imposible,114,"Adventure,",7.5,47,228990,19.02,J.A. Bayona
913,2019,The Purge,85,"Horror,",5.7,47,228845,64.47,James DeMonaco
914,1996,Sleepers,147,"Crime,",7.5,87,228634,49.1,Barry Levinson
915,2004,The Girl Next Door,109,"Comedy,",6.7,57,228630,14.59,Luke Greenfield
916,1996,Primal Fear,129,"Crime,",7.7,73,228319,56.12,Gregory Hoblit
917,1998,Shakespeare in Love,123,"Comedy,",7.1,52,228257,100.32,John Madden
918,2016,War Dogs,114,"Biography,",7.1,59,228230,43.03,Todd Phillips
919,1988,Big,104,"Comedy,",7.3,76,227406,114.97,Penny Marshall
920,1940,The Great Dictator,125,"Comedy,",8.4,52,227061,0.29,Charles Chaplin
921,2013,White House Down,131,"Action,",6.3,68,226993,73.1,Roland Emmerich
922,1989,When Harry Met Sally...,95,"Comedy,",7.7,83,226752,92.82,Rob Reiner
923,2012,Safe House,115,"Action,",6.7,59,226683,126.37,Daniel Espinosa
924,1995,Clueless,97,"Comedy,",6.9,55,226497,56.63,Amy Heckerling
925,2003,Master and Commander: The Far Side of the World,138,"Action,",7.4,70,226423,93.93,Peter Weir
926,2019,The Lighthouse,109,"Drama,",7.4,61,226358,0.43,Robert Eggers
927,2001,Legally Blonde,96,"Comedy,",6.4,48,226303,96.52,Robert Luketic
928,2008,The Boy in the Striped Pajamas,94,"Drama,",7.7,64,226286,9.03,Mark Herman
929,1994,Clerks,92,Comedy,7.7,67,226259,3.15,Kevin Smith
930,2018,Ocean's Eight,110,"Action,",6.3,65,226209,140.22,Gary Ross
931,2001,Rush Hour 2,90,"Action,",6.6,94,226118,226.16,Brett Ratner
932,2004,Napoleon Dynamite,96,Comedy,6.9,50,225672,44.54,Jared Hess
933,2011,The Ides of March,101,"Drama,",7.1,77,225342,40.96,George Clooney
934,2019,Closer,104,"Drama,",7.2,71,225302,33.99,Mike Nichols
935,2011,Cowboys & Aliens,119,"Action,",6.0,52,224842,100.24,Jon Favreau
936,2017,"I, Tonya",119,"Biography,",7.5,72,224452,30.01,Craig Gillespie
937,2005,Thank You for Smoking,92,"Comedy,",7.5,57,224266,24.79,Jason Reitman
938,1957,The Bridge on the River Kwai,161,"Adventure,",8.2,41,224087,44.91,David Lean
939,2002,Blade II,117,"Action,",6.7,52,223796,82.35,Guillermo del Toro
940,2016,Captain Fantastic,118,"Comedy,",7.8,42,223462,5.88,Matt Ross
941,1992,Dracula,128,"Drama,",7.4,28,223176,82.52,Francis Ford Coppola
942,1999,Big Daddy,93,"Comedy,",6.4,45,223174,163.48,Dennis Dugan
943,1990,Ghost,127,"Drama,",7.1,50,223134,217.63,Jerry Zucker
944,2003,Daredevil,103,"Action,",5.3,56,223109,102.54,Mark Steven Johnson
945,2009,The Ugly Truth,96,"Comedy,",6.4,66,223083,88.92,Robert Luketic
946,1995,Ace Ventura: When Nature Calls,90,"Adventure,",6.4,64,222977,108.39,Steve Oedekerk
947,2001,Planet of the Apes,119,"Action,",5.7,63,222630,180.01,Tim Burton
948,2002,Die Another Day,133,"Action,",6.1,82,222612,160.94,Lee Tamahori
949,1993,Carlito's Way,144,"Crime,",7.9,45,222609,36.95,Brian De Palma
950,2015,Everest,121,"Action,",7.1,41,222393,43.48,Baltasar Kormákur
951,2006,Rocky Balboa,102,"Action,",7.1,96,222323,70.27,Sylvester Stallone
952,2022,Uncharted,116,"Action,",6.3,62,222018,148.65,Ruben Fleischer
953,2017,King Arthur: Legend of the Sword,126,"Action,",6.7,54,221878,39.18,Guy Ritchie
954,1964,Per un pugno di dollari,99,"Action,",7.9,45,221659,14.5,Sergio Leone
955,1999,Dogma,130,"Adventure,",7.3,68,221520,30.65,Kevin Smith
956,2008,Get Smart,110,"Action,",6.5,61,221440,130.32,Peter Segal
957,2005,Match Point,124,"Drama,",7.6,82,221364,23.09,Woody Allen
958,2013,Pain & Gain,129,"Action,",6.4,48,221282,49.88,Michael Bay
959,2014,Chef,114,"Adventure,",7.3,55,220771,30.64,Jon Favreau
960,2004,The Polar Express,100,"Animation,",6.6,52,220670,183.37,Robert Zemeckis
961,2008,Låt den rätte komma in,114,"Drama,",7.9,66,220519,2.12,Tomas Alfredson
962,2000,Remember the Titans,113,"Biography,",7.8,52,220365,115.65,Boaz Yakin
963,2013,The Croods,98,"Animation,",7.2,57,220344,187.17,"Kirk DeMicco, "
964,2003,Anger Management,106,Comedy,6.2,67,219931,135.65,Peter Segal
965,1969,Butch Cassidy and the Sundance Kid,110,"Biography,",8.0,76,219380,102.31,George Roy Hill
966,2017,Ghost in the Shell,107,"Action,",6.3,60,219165,40.56,Rupert Sanders
967,1998,You've Got Mail,119,"Comedy,",6.7,75,219098,115.82,Nora Ephron
968,2004,Garden State,102,"Comedy,",7.4,48,218985,26.78,Zach Braff
969,2009,Män som hatar kvinnor,152,"Crime,",7.8,40,218907,10.1,Niels Arden Oplev
970,2019,Fast & Furious Presents: Hobbs & Shaw,137,"Action,",6.5,61,218652,173.96,David Leitch
971,1990,Misery,107,"Drama,",7.8,56,218572,61.28,Rob Reiner
972,2018,Tomb Raider,119,"Action,",6.3,56,218228,58.25,Roar Uthaug
973,2013,Gangster Squad,113,"Action,",6.7,56,218149,46.0,Ruben Fleischer
